Asian rank,World rank,Country,GDP per capita (Int$),Year
1,2,Singapore,"102,742",2021 est.
2,4,Qatar,"97,262",2021 est.
3,5,Macau,"90,606",2021 est.
4,9,Brunei,"64,405",2021 est.
5,10,Hong Kong[n 1],"62,839",2021 est.
6,14,United Arab Emirates,"59,844",2021 est.
7,15,Taiwan,"59,398",2021 est.
8,24,Bahrain,"50,284",2021 est.
9,26,Saudi Arabia,"48,099",2021 est.
10,28,South Korea,"47,027",2021 est.
11,31,Japan,"44,585",2021 est.
12,35,Israel,"42,570",2021 est.
13,36,Cyprus,"41,595",2021 est.
14,38,Kuwait,"41,507",2021 est.
15,50,Turkey[n 2],"32,278",2021 est.
16,53,Oman,"30,404",2021 est.
17,57,Malaysia,"29,340",2021 est.
18,58,Kazakhstan[n 3],"27,560",2021 est.
19,64,Maldives,"23,343",2021 est.
20,75,Thailand,"19,004",2021 est.
21,76,China,"18,931",2021 est.
22,81,Turkmenistan,"17,415",2021 est.
23,84,Georgia[n 4],"14,856",2021 est.
24,89,Azerbaijan[n 5],"13,909",2021 est.
25,94,Sri Lanka,"13,638",2021 est.
26,97,Armenia,"13,513",2021 est.
27,98,Iran,"12,882",2021 est.
28,102,Indonesia,"12,431",2021 est.
29,106,Mongolia,"15,709",2021 est.
30,109,Bhutan,"11,928",2021 est.
31,110,Vietnam,"11,677",2021 est.
32,111,Lebanon,"11,564",2021 est.
33,116,Jordan,"10,590",2021 est.
34,118,Iraq,"10,038",2021 est.
35,122,Philippines,"9,061",2021 est.
36,126,Laos,"8,519",2021 est.
37,128,Uzbekistan,"7,830",2021 est.
38,129,India,"7,333",2021 est.
39,132,Syria,"6,373",2021 est.
40,137,Bangladesh,"5,812",2021 est.
41,138,Nepal,"5,690",2021 est.
43,139,Palestine,"5,664",2021 est.
42,144,Kyrgyzstan,"5,323",2021 est.
44,147,Pakistan,"5,224",2021 est.
45,149,Cambodia,"4,930",2021 est.
46,150,Myanmar,"4,831",2021 est.
47,157,Tajikistan,"3,856",2021 est.
48,164,East Timor,"3,119",2021 est.
49,175,Afghanistan,"2,474",2021 est.
50,183,Yemen,"1,924",2021 est.
